cycle,state,dem_poll_avg,dem_poll_avg_margin,incumbent_party,incumbent_running,party_winner
1992,West Virginia,44.298712,14.439230000000002,republican,1,democrat
1992,Wisconsin,39.933187,6.404734999999995,republican,1,democrat
1992,Wyoming,30.408792,-3.954561000000005,republican,1,republican
1996,Alabama,40.952817,-5.939902000000004,democrat,1,republican
1996,Alaska,34.288314,-9.471848,democrat,1,republican
1996,Arizona,45.013949,6.886496999999991,democrat,1,democrat
1996,Arkansas,52.939159,18.084563,democrat,1,democrat
1996,California,48.713991,13.814598000000004,democrat,1,democrat
1996,Colorado,43.749865,3.4405399999999986,democrat,1,republican
1996,Connecticut,49.016396,19.931291,democrat,1,democrat
1996,Delaware,46.301404,9.684802999999995,democrat,1,democrat
1996,District of Columbia,81.327814,76.5736383,democrat,1,democrat
1996,Florida,46.23713,4.8610200000000034,democrat,1,democrat
1996,Georgia,44.767056,2.8368909999999943,democrat,1,republican
1996,Hawaii,53.388279,22.326151000000003,democrat,1,democrat
1996,Idaho,30.727659000000003,-17.664632999999995,democrat,1,republican
1996,Illinois,50.610869,16.276728000000006,democrat,1,democrat
1996,Indiana,38.665799,-2.010550000000002,democrat,1,republican
1996,Iowa,47.453958,12.370793999999997,democrat,1,democrat
1996,Kansas,37.789317,-11.73507,democrat,1,republican
1996,Kentucky,45.657298,3.9228749999999977,democrat,1,democrat
1996,Louisiana,46.771096,11.000163,democrat,1,democrat
1996,Maine,47.893072,11.713541,democrat,1,democrat
1996,Maryland,51.392215,14.465116000000002,democrat,1,democrat
1996,Massachusetts,57.458991000000005,30.27268100000001,democrat,1,democrat
1996,Michigan,47.323879,12.6723,democrat,1,democrat
1996,Minnesota,52.188213,20.539988,democrat,1,democrat
1996,Mississippi,39.189574,-7.601223999999995,democrat,1,republican
1996,Missouri,47.004037,9.819830999999994,democrat,1,democrat
1996,Montana,40.633789,0.3139830000000003,democrat,1,republican
1996,Nebraska,36.553417,-10.694604000000004,democrat,1,republican
1996,Nevada,42.691043,0.1514260000000007,democrat,1,democrat
1996,New Hampshire,50.101426,14.96553,democrat,1,democrat
1996,New Jersey,48.820304,17.202364,democrat,1,democrat
1996,New Mexico,47.593024,13.893636,democrat,1,democrat
1996,New York,54.758489,25.89391700000001,democrat,1,democrat
1996,North Carolina,43.845678,-1.9015029999999984,democrat,1,republican
1996,North Dakota,36.061334,-5.144150999999994,democrat,1,republican
1996,Ohio,47.250076,6.075179999999996,democrat,1,democrat
1996,Oklahoma,39.532809,-6.945787000000003,democrat,1,republican
1996,Oregon,48.096447,12.653893999999994,democrat,1,democrat
1996,Pennsylvania,49.045393,13.030557000000002,democrat,1,democrat
1996,Rhode Island,54.644628,29.895285000000005,democrat,1,democrat
1996,South Carolina,40.93399,-8.340697999999996,democrat,1,republican
1996,South Dakota,41.031583000000005,-4.165252999999993,democrat,1,republican
1996,Tennessee,44.996317,2.957951999999999,democrat,1,democrat
1996,Texas,40.749962,-5.467395000000003,democrat,1,republican
1996,Utah,33.763817,-13.382453000000003,democrat,1,republican
1996,Vermont,52.366977,16.847162999999995,democrat,1,democrat
1996,Virginia,42.826149,1.072695000000003,democrat,1,republican
1996,Washington,47.449865,12.424927000000004,democrat,1,democrat
1996,West Virginia,50.536458,16.240345000000005,democrat,1,democrat
1996,Wisconsin,49.536554,14.595872999999996,democrat,1,democrat
1996,Wyoming,37.603149,-7.238638999999999,democrat,1,republican
2000,Alabama,35.201229,-17.564598000000004,democrat,0,republican
2000,Alaska,28.018256,-22.979054,democrat,0,republican
2000,Arizona,38.92711,-12.535011999999996,democrat,0,republican
2000,Arkansas,44.305234000000006,-2.2236449999999905,democrat,0,republican
2000,California,46.403632,3.659728000000001,democrat,0,democrat
2000,Colorado,39.381768,-8.595186999999996,democrat,0,republican
2000,Connecticut,49.740238,12.227488999999998,democrat,0,democrat
2000,Delaware,45.229964,1.0026910000000058,democrat,0,democrat
2000,District of Columbia,72.672953,58.53184,democrat,0,democrat
2000,Florida,47.174946000000006,1.41781000000001,democrat,0,republican
2000,Georgia,40.539803000000006,-10.130298999999994,democrat,0,republican
2000,Hawaii,52.079752,17.437287999999995,democrat,0,democrat
2000,Idaho,26.858225,-33.979927,democrat,0,republican
2000,Illinois,47.253009000000006,4.704612000000012,democrat,0,democrat
2000,Indiana,34.544446,-19.742062999999995,democrat,0,republican
2000,Iowa,44.900912,0.3492510000000024,democrat,0,democrat
2000,Kansas,35.187645,-20.13307499999999,democrat,0,republican
2000,Kentucky,40.641904,-13.023075000000006,democrat,0,republican
2000,Louisiana,39.244476,-7.539564999999996,democrat,0,republican
2000,Maine,45.534507,4.387054999999997,democrat,0,democrat
2000,Maryland,52.162341,12.589847999999996,democrat,0,democrat
2000,Massachusetts,55.10759,24.715432,democrat,0,democrat
2000,Michigan,46.399564,2.1662279999999967,democrat,0,democrat
2000,Minnesota,44.708419,3.716396000000003,democrat,0,democrat
2000,Mississippi,38.42805,-13.55162,democrat,0,republican
2000,Missouri,45.054595,-2.8030019999999998,democrat,0,republican
2000,Montana,32.346911,-20.640563,democrat,0,republican
2000,Nebraska,34.333161,-22.712822,democrat,0,republican
2000,Nevada,43.036997,-5.054579000000004,democrat,0,republican
